total nat_pop_size,est_pop_size,est_urban_pop,world urban pop,%diff urban pop,,,,,,
7786695108,7821000000,4375308463,4301550000,1.700119067,,,,,,
,,,,,,,,,,
water levels,max values,min values,mean,median,,first quartile,third quartile,IQR,STDEV,mode
basic,100.0000037,37.20240205,89.86478253,97.3481397,,85.64331096,99.88752524,14.24421428,15.0874269,100
limited,37.42696287,0,3.865265345,0.4707829181,,0,4.851219157,4.851219157,6.960846633,0
unimproved,33.53911377,0,4.364934773,0.8394939041,,0.03365733397,5.18462578,5.150968446,7.14997638,0
surface,52.75270267,0,2.116989811,0,,0,1.878301993,1.878301993,5.255611501,0
basic,100,5.221136889,81.04609141,90.73161683,,64.8254211,99.11924249,34.29382139,5.266488057,100
limited,42.16438068,0,5.945841891,1.812330835,,0,8.754546827,8.754546827,5.277429067,0
unimproved,51.21598167,0,8.75706984,3.383709875,,,13.53627974,13.53627974,5.288435117,0
surface,99.60665819,0,5.224638154,0.245082964,,0,6.265798157,6.265798157,5.299506799,0
basic,100,0.143540536,93.36786591,98.08889267,,92.2294476,99.94941803,7.719970435,5.310644711,100
limited,34.27978009,0,3.314069906,0.5,,0,3.966347184,3.966347184,5.321849458,0
unimproved,17.72203473,0,1.591071739,0.3498740029,,0,1.9704814,1.9704814,5.33312165,0
surface,101.0000037,38.20240205,90.86478253,98.3481397,,86.64331096,100.8875252,14.24421428,5.344461904,101
